county_area_county_id,POINT_X,POINT_Y
229,760572.4828,3627248.051
230,759107.6246,3599004.849
231,815634.9832,3876339.483
232,806468.5454,3868920.793
233,855676.6811,3712195.713
234,786588.6334,3707843.296
235,836453.1646,3611740.907
236,812918.1177,3847107.912
237,670181.3994,3740430.992
238,813058.2054,3605504.152
239,715949.5537,3637740.346
240,790497.1664,3605126.363
241,842679.3948,3856900.815
242,837614.8311,3754472.49
243,797105.7693,3800315.129
244,788580.4903,3802214.301
245,679556.5531,3749600.707
246,878579.7913,3622528.188
247,743739.9676,3745239.467
248,695518.3091,3753111.152
249,772597.837,3756226.353
250,668447.7303,3727707.338
251,674656.3777,3726704.253
252,471955.1622,3526358.699
253,645787.0146,3432369.101
254,601566.1148,3435306.176
255,578461.868,3382507.194
256,786475.456,3389509.517
257,761432.6781,3324240.176
258,687156.9051,3384747.358
259,710643.5379,3338227.061
260,666004.1436,3327737.879
261,655938.5638,3414315.4
262,630713.3366,3377326.909
263,588000.2266,3299783.842
264,943865.9768,3300144.929
265,919237.9531,3306719.735
266,879957.3774,3323345.997
267,848088.4386,3313552.909
268,856854.7809,3288854.623
269,846398.1133,3348983.807
270,824711.2235,3320565.243
271,808177.378,3352885.703
272,804641.8559,3309868.044
273,819374.8946,3276924.447
274,766748.4373,3275490.522
275,697529.6021,3272105.909
276,678530.3566,3297581.25
277,644292.3737,3286118.572
278,617454.5095,3323876.836
279,594261.9584,3273533.823
280,582997.4475,3267899.963
281,602119.9807,3265042.083
282,534826.7517,3287936.132
283,545015.4091,3335663.334
284,553470.1407,3241775.639
285,970929.3638,3278411.002
286,935277.8346,3225758.866
287,969046.269,3241051.427
288,940169.1386,3276510.517
289,919742.1406,3270848.635
290,889370.3877,3269408.526
291,887933.6438,3241481.991
292,914078.7645,3236977.055
293,850749.8509,3204850.181
294,848438.3174,3260839.232
295,794765.5005,3237819.06
296,735745.5949,3238558.07
297,709854.1132,3209379.507
298,700570.074,3233796.632
299,672719.3132,3241888.191
300,638338.9153,3248054.841
301,604146.0246,3223731.168
302,940189.4559,3255613.148
303,894487.7535,3197274.941
304,519933.4275,3484350.404
305,846966.7595,3246456.915
306,880431.7175,3286311.586
307,939584.8236,3242613.169
308,947910.1305,3241406.913
309,609252.6579,3254349.895
310,874655.9494,3280668.028
311,870313.3553,3279480.047
312,870696.7147,3273122.035
313,954098.244,3246506.082
314,573747.2293,3173771.953
315,794350.7469,3149648.301
316,790237.1437,3112366.66
317,717635.4031,3140604.333
318,754183.093,3151744.657
319,705071.0509,3114343.393
320,639750.3972,3164862.636
321,660889.9989,3135355.482
322,633871.9465,3134842.213
323,568524.6471,3120734.273
324,528090.2152,3113619.079
325,841353.4993,3069581.959
326,753534.4136,3056765.397
327,783545.3924,3069103.066
328,728095.0664,3084372.825
329,711271.3793,3047607.63
330,678870.8992,3068181.507
331,541576.535,3027094.447
332,759057.035,3010653.645
333,776965.467,3013340.185
334,785164.0537,3001726.579
335,769208.0404,3001699.363
336,782105.9978,2993859.361
